year,pitcher_id,pitcher_throws,release_x,release_z,release_speed,horzbreak,vertbreak,extension,spin_rate,spin_direction,vx0,vy0,vz0,ax0,ay0,az0
2019,9882,L,1.640210603,6.860364173,93.65775299,3.121278654,23.49730874,5.784098556,2472.091113,170.2353058,-6.159960747,-136.0673676,-4.692316055,5.30516386,30.96476746,-8.707482338
2019,9882,L,1.654980157,6.942491744,91.35099792,5.846270627,23.56222214,5.443469455,2463.493535,164.0156403,-1.377927184,-132.7535553,-6.701010227,6.462913036,27.87295341,-9.500902176
2019,9882,L,1.960027669,6.727903102,79.61669922,3.776373633,-5.848058378,5.351977756,816.2317774,42.26724625,-5.115403175,-115.723114,-1.428693771,4.175546646,20.72673607,-35.78916168
2019,9882,L,1.548213218,6.860097144,92.04168701,3.629302919,20.00996067,5.377821376,2046.612391,167.0927887,-4.971817017,-133.6837769,-8.223942757,5.208224297,25.64565086,-12.29627132
2019,9882,L,1.475335096,6.802698348,91.478302,3.189183021,22.04213134,5.609711577,2250.47015,169.4206848,-3.361572504,-132.8952942,-7.848020554,4.491597176,27.50824738,-10.50015259
2019,9882,L,1.500169132,6.859383319,90.46240997,2.548392981,23.51295759,5.543907573,2366.44734,171.5916748,-4.22945118,-131.4920654,-5.541402817,3.995059252,26.71629143,-10.1094017
2019,9882,L,1.447757099,6.79227278,90.32533264,3.811649638,21.28762932,5.562312533,2147.242401,167.4971313,-4.520829678,-131.0501556,-9.631164551,5.165929794,26.97734451,-11.36996269
2019,9882,L,1.626060222,6.860631678,89.12478638,-0.415695457,24.0364465,5.490373065,2344.940476,178.7498779,-2.968512058,-129.4008789,-8.413546562,1.06685257,26.53481293,-9.738938332
2019,9882,L,1.429707382,6.846039984,90.13292694,-0.17632095,21.49618817,5.460737159,2111.021528,177.9638367,-0.999987483,-131.0705261,-5.553030968,0.885805547,26.43210793,-12.08921623
2019,9882,L,1.739713524,6.778762076,75.93411255,4.483255749,-5.152669331,5.254376819,759.9281975,52.4564476,-4.345716,-110.3446045,-2.578374624,4.148005486,19.43218613,-34.61760712
2019,9882,L,1.856717442,6.721782897,85.66725159,-0.360823195,14.62513825,5.44258969,1314.957335,177.7320251,-2.68469429,-124.5909576,-6.595097542,0.944098294,21.79737663,-19.29854012
2019,9882,L,1.838178728,6.855454657,81.24697876,10.24424437,14.82162754,5.008394172,1610.976357,144.1752014,-3.577279568,-117.7462006,-9.694969177,8.545663834,21.89898109,-19.76205254
2019,9882,L,1.572102163,6.853823874,90.32983398,3.048437142,20.72995652,5.433035781,2066.498664,169.2295685,-3.221538544,-131.2390137,-5.736422539,4.224254608,28.26333046,-12.67540932
2019,9882,L,1.612652634,6.875838015,91.29746246,4.347251028,21.73884973,5.717336585,2237.616431,166.428833,-5.136323452,-132.3636169,-10.61999702,5.920117378,28.57146072,-10.22946453
2019,9882,L,1.757332776,6.793765757,93.08097839,3.482372279,18.99473506,5.612778117,1967.816578,166.916748,-8.189021111,-135.1069031,-5.898390293,5.936673641,28.70148277,-13.13731289
2019,9882,L,1.555816029,6.863551829,91.27548218,3.789397144,22.00074481,5.558985641,2254.737397,167.8918915,-3.246104717,-132.6673584,-6.770737648,4.991910934,26.88856125,-10.87089348
2019,9882,L,1.688924287,6.803555224,76.61459351,3.007915705,-6.098315564,5.185726096,765.214075,36.28193283,-2.345603704,-111.4087219,-5.306998253,2.913173437,18.20498466,-35.03239441
2019,9882,L,1.673971508,6.775517199,78.04924011,2.150941662,-3.810262747,5.441356589,568.3168106,43.33504105,-3.924667358,-113.5471954,-3.997928143,2.720226049,18.43848419,-33.99375534
2019,9882,L,1.485352729,6.815557215,90.56829834,2.913658144,21.35718137,5.814216067,2163.489026,169.8478394,-4.362036705,-131.5884552,-6.857869625,4.414827824,28.21093178,-11.54595947
2019,9882,L,1.572196935,6.856155131,90.3082962,3.30994726,22.01296355,5.56920283,2216.36458,169.1484528,-2.455849886,-131.1981201,-7.554032326,4.30482626,27.38654518,-11.09563637
2019,9882,L,1.569754933,6.878267977,91.1362381,2.271631438,22.34997419,5.585434844,2253.816179,171.8462982,-4.522601604,-132.3447266,-8.139222145,3.856112719,27.15867233,-10.34156132
2019,9882,L,1.476559256,6.842650149,88.89279938,4.023809381,22.93086793,5.399870803,2275.809245,167.9574738,-2.274785519,-129.1584015,-5.328192711,4.730764389,27.78185654,-11.44793701
2019,9882,L,1.723657106,6.711848948,76.98046112,3.287591543,-5.196510621,5.405197551,708.0836889,44.74586868,-5.418748856,-111.556778,-9.602367401,3.680965185,20.04396439,-33.47283554
2019,9882,L,1.716002916,6.802726958,77.08061218,2.843802607,-3.331858945,5.406775882,558.838974,54.29637909,-3.910832405,-112.1158447,-4.314143181,3.112179518,18.12981606,-33.52343369
2019,9882,L,1.643678878,6.759341929,77.61725616,2.881067332,-3.085909631,5.247724464,542.18682,56.87303925,-5.360901356,-112.7341003,-6.733090878,3.384514332,18.18638802,-33.00239944
2019,9882,L,1.591456507,6.892488692,89.76239014,6.061309465,23.12957752,5.480370929,2384.717787,163.3439331,-1.774179697,-130.4619446,-5.24566412,6.50915432,28.04480934,-10.85921097
